Time (1 offset),Grill,Pork
07/03/26 15:16:05,97.6,
07/03/26 15:16:50,,46.7
07/03/26 15:16:55,,46.7
07/03/26 15:17:00,97.9,
07/03/26 15:17:05,97.9,
07/03/26 15:17:55,,47.2
07/03/26 15:18:00,,47.2
07/03/26 15:18:05,98.1,
07/03/26 15:18:10,98.1,
07/03/26 15:18:55,,47.6
07/03/26 15:19:00,,47.6
07/03/26 15:19:05,98.4,
07/03/26 15:19:10,98.4,
07/03/26 15:20:00,,47.9
07/03/26 15:20:05,,47.9
07/03/26 15:20:10,99.1,
07/03/26 15:20:15,99.1,
07/03/26 15:21:05,,48.3
07/03/26 15:21:10,,48.3
07/03/26 15:21:15,99.1,
07/03/26 15:21:20,99.1,
07/03/26 15:22:05,,48.7
07/03/26 15:22:10,,48.7
07/03/26 15:22:15,99.7,
07/03/26 15:22:20,99.7,
07/03/26 15:23:05,,49.1
07/03/26 15:23:10,,49.1
07/03/26 15:23:15,99.7,
07/03/26 15:23:20,99.7,
07/03/26 15:24:10,,49.4
07/03/26 15:24:15,,49.4
07/03/26 15:24:20,100.2,
07/03/26 15:24:25,100.2,
07/03/26 15:25:10,,49.8
07/03/26 15:25:15,,49.8
07/03/26 15:25:20,92.7,
07/03/26 15:25:25,92.7,
07/03/26 15:26:10,,50.1
07/03/26 15:26:15,,50.1
07/03/26 15:26:20,106.5,
07/03/26 15:26:25,106.5,
07/03/26 15:27:15,,50.5
07/03/26 15:27:20,,50.5
07/03/26 15:27:25,104.0,
07/03/26 15:27:30,104.0,
07/03/26 15:28:15,,50.8
07/03/26 15:28:20,,50.8
07/03/26 15:28:25,102.3,
07/03/26 15:28:30,102.3,
07/03/26 15:29:15,,51.1
07/03/26 15:29:20,,51.1
07/03/26 15:29:25,102.0,
07/03/26 15:29:30,102.0,
07/03/26 15:30:15,,51.5
07/03/26 15:30:20,,51.5
07/03/26 15:30:25,102.1,
07/03/26 15:30:30,102.1,
07/03/26 15:31:20,,51.8
07/03/26 15:31:25,,51.8
07/03/26 15:31:30,101.3,
07/03/26 15:31:35,101.3,
07/03/26 15:32:20,,52.1
07/03/26 15:32:25,,52.1
07/03/26 15:32:30,100.8,
07/03/26 15:32:35,100.8,
07/03/26 15:33:25,,52.4
07/03/26 15:33:30,,52.4
07/03/26 15:33:35,101.0,
07/03/26 15:33:40,101.0,
07/03/26 15:34:25,,52.7
07/03/26 15:34:30,,52.7
07/03/26 15:34:35,100.1,
07/03/26 15:34:40,100.1,
07/03/26 15:35:25,,53.0
07/03/26 15:35:30,,53.0
07/03/26 15:35:35,99.7,
07/03/26 15:35:40,99.7,
07/03/26 15:36:25,,53.3
07/03/26 15:36:30,,53.3
07/03/26 15:36:35,99.1,
07/03/26 15:36:40,99.1,
07/03/26 15:37:30,,53.6
07/03/26 15:37:35,,53.6
07/03/26 15:37:40,99.3,
07/03/26 15:37:45,99.3,
07/03/26 15:38:30,,53.9
07/03/26 15:38:35,,53.9
07/03/26 15:38:40,99.1,
07/03/26 15:38:45,99.1,
07/03/26 15:39:30,,54.2
07/03/26 15:39:35,,54.2
07/03/26 15:39:40,99.3,
07/03/26 15:39:45,99.3,
07/03/26 15:40:35,,54.5
07/03/26 15:40:40,,54.5
07/03/26 15:40:45,98.0,
07/03/26 15:40:50,98.0,
07/03/26 15:41:35,,54.8
07/03/26 15:41:40,,54.8
07/03/26 15:41:45,96.9,
07/03/26 15:41:50,96.9,
07/03/26 15:42:25,,54.9
07/03/26 15:42:30,,54.9
07/03/26 15:42:35,,55.0
07/03/26 15:42:40,,55.0
07/03/26 15:42:45,95.4,
07/03/26 15:42:50,95.4,
07/03/26 15:43:35,,55.3
07/03/26 15:43:40,,55.3
07/03/26 15:43:45,85.6,
07/03/26 15:43:50,85.6,
07/03/26 15:44:35,,55.6
07/03/26 15:44:40,,55.6
07/03/26 15:44:50,88.0,
07/03/26 15:44:55,88.0,
07/03/26 15:45:40,,55.8
07/03/26 15:45:45,,55.8
07/03/26 15:45:50,89.6,
07/03/26 15:45:55,89.6,
07/03/26 15:46:40,,56.1
